"BOROUGH","NEIGHBORHOOD","TYPE OF HOME","NUMBER OF SALES","LOWEST SALE PRICE","AVERAGE SALE PRICE","MEDIAN SALE PRICE","HIGHEST SALE PRICE","YEAR"
"5","BULLS HEAD","01 ONE FAMILY DWELLINGS","76","$279,900","$585,500.8421052631","$590,500","$1,124,900","2024"
"5","ARROCHAR-SHORE ACRES","02 TWO FAMILY DWELLINGS","7","$469,875","$686,410.7142857143","$660,000","$840,000","2024"
"5","ARROCHAR-SHORE ACRES","01 ONE FAMILY DWELLINGS","7","$735,000","$1,074,428.571428571","$800,000","$2,500,000","2024"
"5","ARROCHAR","03 THREE FAMILY DWELLINGS","2","$687,500","$687,500","$687,500","$687,500","2024"
"5","ARROCHAR","02 TWO FAMILY DWELLINGS","2","$615,000","$775,000","$775,000","$935,000","2024"
"5","ARROCHAR","01 ONE FAMILY DWELLINGS","9","$538,000","$827,766.6666666666","$780,000","$1,290,000","2024"
"5","ARDEN HEIGHTS","02 TWO FAMILY DWELLINGS","16","$650,000","$992,588.0625","$857,500","$2,250,000","2024"
"5","ARDEN HEIGHTS","01 ONE FAMILY DWELLINGS","121","$216,939","$567,615.4462809918","$549,000","$1,400,000","2024"
"5","ANNADALE","02 TWO FAMILY DWELLINGS","32","$273,000","$1,107,916.84375","$1,115,000","$1,999,000","2024"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","81","$235,000","$910,603.6666666666","$824,783","$2,275,000","2024"
"4","WOODSIDE","03 THREE FAMILY DWELLINGS","19","$600,000","$1,262,711.736842105","$1,247,500","$1,900,000","2024"
"4","WOODSIDE","02 TWO FAMILY DWELLINGS","25","$210,000","$1,096,673.72","$1,100,000","$1,850,000","2024"
"4","WOODSIDE","01 ONE FAMILY DWELLINGS","17","$217,500","$827,499.9411764706","$900,000","$1,210,000","2024"
"4","WOODHAVEN","03 THREE FAMILY DWELLINGS","10","$303,504","$798,899.1","$776,243.5","$1,250,000","2024"
"4","WOODHAVEN","02 TWO FAMILY DWELLINGS","78","$246,000","$916,421.7435897436","$920,000","$1,400,000","2024"
"4","WOODHAVEN","01 ONE FAMILY DWELLINGS","84","$312,500","$678,399.5357142857","$660,000","$1,160,000","2024"
"4","WHITESTONE","03 THREE FAMILY DWELLINGS","3","$1,100,000","$1,466,666.666666667","$1,650,000","$1,650,000","2024"
"4","WHITESTONE","02 TWO FAMILY DWELLINGS","66","$369,549","$1,337,176.848484848","$1,360,000","$2,341,975","2024"
"4","WHITESTONE","01 ONE FAMILY DWELLINGS","113","$229,937","$1,108,357.21238938","$990,000","$3,929,888","2024"
"4","SUNNYSIDE","03 THREE FAMILY DWELLINGS","3","$1,300,000","$1,486,421","$1,534,263","$1,625,000","2024"
"4","SUNNYSIDE","02 TWO FAMILY DWELLINGS","21","$628,000","$1,188,047.619047619","$1,225,000","$1,590,000","2024"
"4","SUNNYSIDE","01 ONE FAMILY DWELLINGS","15","$518,596","$1,029,406.4","$1,050,000","$1,605,000","2024"
"4","ST. ALBANS","02 TWO FAMILY DWELLINGS","89","$324,450","$777,892.6067415731","$760,000","$1,382,738","2024"
"4","ST. ALBANS","01 ONE FAMILY DWELLINGS","248","$200,000","$639,102.1048387097","$647,000","$1,315,000","2024"
"4","SPRINGFIELD GARDENS","03 THREE FAMILY DWELLINGS","3","$999,000","$1,123,000","$1,170,000","$1,200,000","2024"
